epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.081,0.71154,1.76659,1.11377,0.88735,0.83069,0.90987,0.74951,0.59364,1.52187,0.92802,0.00064,0.00064,0.00064
2,122.967,0.53755,0.89498,1.01662,0.72834,0.75661,0.82637,0.66703,0.56981,2.15258,0.9834,0.00127426,0.00127426,0.00127426
3,181.551,0.53884,0.87238,1.00514,0.77209,0.85714,0.87574,0.69781,0.63651,1.53212,1.04282,0.00188238,0.00188238,0.00188238
4,239.15,0.56777,0.84568,1.01251,0.81063,0.95125,0.94967,0.81157,0.53055,0.859,0.95783,0.0018812,0.0018812,0.0018812
5,297.953,0.50131,0.74505,0.98074,0.86988,0.89947,0.93627,0.76622,0.5389,0.82832,0.96216,0.0018416,0.0018416,0.0018416
6,356.327,0.4921,0.69943,0.96711,0.91221,0.87965,0.94553,0.80528,0.50995,0.7548,0.92176,0.001802,0.001802,0.001802
7,414.952,0.45738,0.66179,0.95762,0.9368,0.94114,0.9532,0.86913,0.40231,0.62019,0.87896,0.0017624,0.0017624,0.0017624
8,473.289,0.43063,0.61951,0.94023,0.92893,0.89901,0.95477,0.8493,0.40384,0.67653,0.87565,0.0017228,0.0017228,0.0017228
9,532.641,0.41806,0.58298,0.93912,0.89517,0.91534,0.95196,0.85536,0.3886,0.64015,0.83502,0.0016832,0.0016832,0.0016832
10,595.018,0.39985,0.55241,0.916,0.92237,0.94293,0.94635,0.87463,0.37705,0.57654,0.81781,0.0016436,0.0016436,0.0016436
11,655.61,0.39972,0.55937,0.9354,0.93881,0.9418,0.95442,0.87987,0.35211,0.54053,0.81446,0.001604,0.001604,0.001604
12,713.887,0.39597,0.5165,0.92394,0.94379,0.95767,0.96324,0.87219,0.39247,0.59484,0.8331,0.0015644,0.0015644,0.0015644
13,771.546,0.38858,0.52234,0.92424,0.88902,0.97487,0.96841,0.89836,0.34319,0.49273,0.78937,0.0015248,0.0015248,0.0015248
14,829.659,0.37563,0.48697,0.91631,0.92862,0.95238,0.97921,0.91708,0.32226,0.48728,0.80112,0.0014852,0.0014852,0.0014852
15,888.022,0.37054,0.48892,0.90954,0.95141,0.93234,0.96515,0.90327,0.33263,0.45587,0.80724,0.0014456,0.0014456,0.0014456
16,946.511,0.35448,0.44265,0.89863,0.92407,0.96825,0.96881,0.90862,0.32747,0.46502,0.79398,0.001406,0.001406,0.001406
17,1004.63,0.34399,0.43646,0.9054,0.92302,0.96296,0.97031,0.90516,0.3123,0.4467,0.80058,0.0013664,0.0013664,0.0013664
18,1062.42,0.34974,0.43534,0.90755,0.9323,0.96825,0.97513,0.90346,0.32836,0.42938,0.80075,0.0013268,0.0013268,0.0013268
19,1120.26,0.33598,0.44266,0.89889,0.9443,0.94709,0.96905,0.90888,0.2998,0.40562,0.79044,0.0012872,0.0012872,0.0012872
20,1178.8,0.32541,0.41134,0.8922,0.93441,0.96296,0.97335,0.91761,0.30177,0.39785,0.7903,0.0012476,0.0012476,0.0012476
21,1236.64,0.31972,0.40216,0.88625,0.94163,0.93888,0.97489,0.91502,0.32706,0.42602,0.80588,0.001208,0.001208,0.001208
22,1293.99,0.30818,0.38585,0.88415,0.92191,0.94709,0.96132,0.91213,0.28477,0.41197,0.78565,0.0011684,0.0011684,0.0011684
23,1351.6,0.31574,0.38967,0.89836,0.92167,0.96296,0.96697,0.91815,0.2779,0.42029,0.79041,0.0011288,0.0011288,0.0011288
24,1409.27,0.29733,0.37554,0.88367,0.93691,0.94287,0.9664,0.90244,0.30602,0.4508,0.82178,0.0010892,0.0010892,0.0010892
25,1466.26,0.30513,0.39023,0.8825,0.93246,0.94709,0.98,0.92111,0.2734,0.3947,0.78877,0.0010496,0.0010496,0.0010496
26,1522.88,0.29292,0.37176,0.87948,0.92446,0.9713,0.97057,0.9215,0.34243,0.39184,0.83423,0.00101,0.00101,0.00101
27,1579.06,0.30772,0.3873,0.88531,0.9383,0.96825,0.97854,0.9383,0.25947,0.35037,0.76685,0.0009704,0.0009704,0.0009704
28,1638.96,0.3001,0.3605,0.88924,0.93274,0.97354,0.97763,0.93888,0.26068,0.36083,0.77708,0.0009308,0.0009308,0.0009308
29,1700.34,0.30423,0.37467,0.88755,0.93893,0.97617,0.96686,0.93135,0.27364,0.34577,0.79063,0.0008912,0.0008912,0.0008912
30,1761.44,0.28482,0.34814,0.88511,0.9429,0.96112,0.96554,0.90634,0.30043,0.37849,0.83281,0.0008516,0.0008516,0.0008516
31,1818.85,0.2806,0.34489,0.88062,0.94699,0.94526,0.97357,0.91493,0.29595,0.3907,0.79839,0.000812,0.000812,0.000812
32,1876.53,0.27788,0.34583,0.87071,0.94149,0.93646,0.97917,0.9319,0.2429,0.34849,0.76686,0.0007724,0.0007724,0.0007724
33,1933.56,0.28827,0.34674,0.88416,0.96236,0.91005,0.97597,0.92262,0.28116,0.35971,0.79535,0.0007328,0.0007328,0.0007328
34,1991.39,0.27027,0.32759,0.87955,0.9591,0.92593,0.97284,0.92391,0.27541,0.33947,0.78033,0.0006932,0.0006932,0.0006932
35,2048.4,0.26489,0.3305,0.86698,0.92486,0.97681,0.97856,0.93723,0.25555,0.33403,0.77725,0.0006536,0.0006536,0.0006536
36,2105.95,0.26217,0.3172,0.87568,0.93863,0.97105,0.98221,0.94062,0.24883,0.30881,0.78339,0.000614,0.000614,0.000614
37,2163.23,0.26282,0.30395,0.87132,0.93276,0.97884,0.97976,0.944,0.24032,0.31961,0.77255,0.0005744,0.0005744,0.0005744
38,2219.73,0.24786,0.29189,0.8553,0.95071,0.96825,0.97807,0.94073,0.23745,0.32273,0.77696,0.0005348,0.0005348,0.0005348
39,2276.6,0.25028,0.29014,0.87007,0.95002,0.96296,0.97926,0.93239,0.24102,0.32317,0.77446,0.0004952,0.0004952,0.0004952
40,2333.4,0.25239,0.29111,0.8647,0.94397,0.98054,0.98464,0.95058,0.23026,0.29553,0.76569,0.0004556,0.0004556,0.0004556
41,2392.4,0.22546,0.2973,0.82479,0.94053,0.97354,0.98577,0.95346,0.23263,0.29653,0.74897,0.000416,0.000416,0.000416
42,2450.02,0.21827,0.27292,0.83008,0.95288,0.96294,0.98593,0.95223,0.2277,0.29641,0.75786,0.0003764,0.0003764,0.0003764
43,2508.33,0.22215,0.25851,0.84356,0.96649,0.95238,0.98466,0.94911,0.22502,0.31633,0.75868,0.0003368,0.0003368,0.0003368
44,2564.94,0.20503,0.24502,0.82363,0.96035,0.9418,0.98164,0.94159,0.23805,0.31301,0.76791,0.0002972,0.0002972,0.0002972
45,2619.93,0.20418,0.23893,0.81456,0.91553,0.97494,0.98217,0.94508,0.23277,0.31136,0.76633,0.0002576,0.0002576,0.0002576
46,2675.02,0.19961,0.23408,0.81691,0.93388,0.97153,0.98463,0.94606,0.21775,0.30199,0.75737,0.000218,0.000218,0.000218
47,2729.67,0.19953,0.23372,0.82659,0.9526,0.96296,0.98629,0.94909,0.21832,0.29947,0.75374,0.0001784,0.0001784,0.0001784
48,2785.8,0.18406,0.22237,0.81237,0.95219,0.96825,0.98638,0.94507,0.22115,0.29604,0.75726,0.0001388,0.0001388,0.0001388
49,2841.98,0.19204,0.21883,0.82357,0.96126,0.95767,0.98729,0.94683,0.22019,0.29333,0.75919,9.92e-05,9.92e-05,9.92e-05
50,2898.23,0.18957,0.22268,0.81907,0.95799,0.9652,0.98799,0.95054,0.21593,0.28872,0.7577,5.96e-05,5.96e-05,5.96e-05
